Model,Weight,Power,Max_Feed,Min_Capacity,Max_Capacity,Min_CSS,Max_CSS,Company
MP2500,450000,,,1560,7166,19,63,Metso
Raptor 2500,401089,1860,450,1030,3502,13,45,FLSmidth
MP1250,153985,,,590,3025,10,50,Metso
MP1000,153124,,,615,2420,13,50,Metso
TG1020,77000,750,355,,2300,13,70,Terex
HP900,77960,700,356,,2000,9,32,Metso
Raptor 1100,151848,820,415,549,1971,13,45,FLSmidth
Raptor 1300,151955,970,415,685,1955,13,45,FLSmidth
MP800,120570,,,495,1935,13,50,Metso
CH890i,84891,750,428,275,1837,13,70,Sandvik
TC84XR,78000,450,383,318,1590,6,64,Weir
TG820,50000,600,320,,1550,13,64,Terex
Patriot 800,92000,600,360,470,1450,10,50,Superior Industries
CH870i,58293,600,350,208,1370,10,70,Sandvik
Raptor 900,71648,670,345,272,1243,10,45,FLSmidth
TP900,76000,630,320,279,1166,8,57,Weir
CH895i,84343,750,127,258,1077,10,70,Sandvik
TGS420,36500,315,385,,1050,38,70,Terex
CH860i,39710,500,315,250,910,13,51,Sandvik
CS660,40254,315,622,314,908,29,83,Sandvik
GP500S,34300,355,392,250,860,35,65,Metso
TP600,35000,450,296,194,832,8,51,Weir
Raptor 650,65522,450,380,220,800,10,45,FLSmidth
HP500,37000,355,351,,790,6,30,Metso
HP6,44550,500,331,,790,9,30,Metso
Patriot 600,51113,450,356,272,744,10,50,Superior Industries
MVP550X,30800,375,346,228,737,10,51,Terex
Raptor 500,51113,370,330,195,730,10,45,FLSmidth
Patriot 500,33566,375,343,227,726,10,50,Superior Industries
TG420,25200,315,240,,680,13,44,Terex
TP450,25000,315,305,146,673,8,51,Weir
CH840i,20278,330,250,212,659,22,70,Sandvik
CS840i,25794,330,431,212,659,22,70,Sandvik
CH660,29335,315,321,116,646,10,51,Sandvik
Raptor 450,24470,340,335,160,640,10,45,FLSmidth
HP400,25600,315,304,,630,6,30,Metso
TG320,19500,250,330,,601,29,48,Terex
HP5,29000,370,317,,600,6,30,Metso
MX4,21200,315,257,400,600,,,Metso
MVP450X,23800,300,329,182,585,10,51,Terex
Patriot 400,24130,300,310,181,581,10,50,Superior Industries
GP550,28700,400,235,160,575,15,45,Metso
TC66,43500,250,282,154,562,6,51,Weir
HP4,24200,315,252,,555,8,28,Metso
Raptor 350,16089,260,240,140,520,10,45,FLSmidth
CH865i,38930,500,123,155,517,10,44,Sandvik
CS440,21637,220,500,191,510,25,57,Sandvik
MVP380X,20800,225,283,155,507,10,51,Terex
Patriot 300,16029,225,270,163,490,10,50,Superior Industries
TP350,18500,250,245,113,490,6,45,Weir
GP300S,17100,250,320,180,480,25,50,Metso
HP300,18100,220,241,,440,6,25,Metso
TC51,22500,200,271,90,426,6,51,Weir
GP330,16600,315,215,105,420,8,35,Metso
MX3,16600,220,232,300,420,,,Metso
Dakota D350,20870,260,305,155,415,13,51,Superior Industries
TG320,15000,250,190,,410,8,38,Terex
HP3,16100,250,220,,388,8,25,Metso
TGS220,12100,160,275,,344,19,35,Terex
CH440,16617,220,250,58,336,8,48,Sandvik
GP220,11100,220,204,70,310,8,35,Metso
Raptor 250,8917,190,235,120,310,10,45,FLSmidth
Patriot 200,8838,150,236,91,308,10,50,Superior Industries
CS430,13098,132,400,99,298,24,54,Sandvik
TC1150,14000,225,220,150,290,16,40,Terex
CH830i,12734,250,211,61,283,5,41,Sandvik
TP260,12000,185,244,72,259,6,38,Weir
GP100S,7700,90,236,80,250,20,45,Metso
HP200,12160,132,185,,250,6,19,Metso
CH430,10516,132,214,26,215,4,41,Sandvik
TG220,9500,160,165,,215,6,32,Terex
TC1000,10000,170,195,70,200,16,36,Terex
TC36,12000,90,184,63,186,6,38,Weir
CS420,7188,90,267,70,172,13,35,Sandvik
HP100,6470,90,150,,155,6,17,Metso
TGS120,6850,90,190,,143,9,35,Terex
CH420,6130,90,155,23,135,4,35,Sandvik
TG120,5500,90,125,,130,6,29,Terex
GP100,6200,90,135,35,105,6,20,Metso
Endeavor ST300,15870,225,210,,,8,44,Superior Industries
Endeavor SS300,19980,225,450,,,24,54,Superior Industries
